<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
19840104,9927.00,9927.00,9927.00,9927.00,0
19840105,9947.00,9947.00,9947.00,9947.00,0
19840106,9961.00,9961.00,9961.00,9961.00,0
19840109,9954.00,9954.00,9954.00,9954.00,0
19840110,10016.00,10016.00,10016.00,10016.00,0
19840111,10073.00,10073.00,10073.00,10073.00,0
19840112,10104.00,10104.00,10104.00,10104.00,0
19840113,10151.00,10151.00,10151.00,10151.00,0
19840117,10156.00,10156.00,10156.00,10156.00,0
19840118,10100.00,10100.00,10100.00,10100.00,0
19840119,10098.00,10098.00,10098.00,10098.00,0
19840120,10104.00,10104.00,10104.00,10104.00,0
19840123,10071.00,10071.00,10071.00,10071.00,0
19840124,10023.00,10023.00,10023.00,10023.00,0
19840125,10115.00,10115.00,10115.00,10115.00,0
19840126,10180.00,10180.00,10180.00,10180.00,0
19840127,10181.00,10181.00,10181.00,10181.00,0
19840130,10236.00,10236.00,10236.00,10236.00,0
19840131,10196.00,10196.00,10196.00,10196.00,0
19840201,10201.00,10201.00,10201.00,10201.00,0
19840202,10156.00,10156.00,10156.00,10156.00,0
19840203,10134.00,10134.00,10134.00,10134.00,0
19840206,10121.00,10121.00,10121.00,10121.00,0
19840207,10061.00,10061.00,10061.00,10061.00,0
19840208,10100.00,10100.00,10100.00,10100.00,0
19840209,10002.00,10002.00,10002.00,10002.00,0
19840210,9959.00,9959.00,9959.00,9959.00,0
19840213,9963.00,9963.00,9963.00,9963.00,0
19840214,9830.00,9830.00,9830.00,9830.00,0
19840215,9892.00,9892.00,9892.00,9892.00,0
19840216,9897.00,9897.00,9897.00,9897.00,0
19840217,9925.00,9925.00,9925.00,9925.00,0
19840220,9938.00,9938.00,9938.00,9938.00,0
19840221,9971.00,9971.00,9971.00,9971.00,0
19840222,9948.00,9948.00,9948.00,9948.00,0
19840223,9940.00,9940.00,9940.00,9940.00,0
19840224,9963.00,9963.00,9963.00,9963.00,0
19840227,10071.00,10071.00,10071.00,10071.00,0
19840228,10074.00,10074.00,10074.00,10074.00,0
19840229,10031.00,10031.00,10031.00,10031.00,0
19840301,9920.00,9920.00,9920.00,9920.00,0
19840302,9948.00,9948.00,9948.00,9948.00,0
19840305,10089.00,10089.00,10089.00,10089.00,0
19840306,10059.00,10059.00,10059.00,10059.00,0
19840307,10021.00,10021.00,10021.00,10021.00,0
19840308,9959.00,9959.00,9959.00,9959.00,0
19840309,9997.00,9997.00,9997.00,9997.00,0
19840312,10087.00,10087.00,10087.00,10087.00,0
19840313,10195.00,10195.00,10195.00,10195.00,0
19840314,10324.00,10324.00,10324.00,10324.00,0
19840315,10347.00,10347.00,10347.00,10347.00,0
19840316,10458.00,10458.00,10458.00,10458.00,0
19840319,10479.00,10479.00,10479.00,10479.00,0
19840321,10414.00,10414.00,10414.00,10414.00,0
19840322,10456.00,10456.00,10456.00,10456.00,0
19840323,10506.00,10506.00,10506.00,10506.00,0
19840326,10484.00,10484.00,10484.00,10484.00,0
19840327,10528.00,10528.00,10528.00,10528.00,0
19840328,10701.00,10701.00,10701.00,10701.00,0
19840329,10802.00,10802.00,10802.00,10802.00,0
19840330,10929.00,10929.00,10929.00,10929.00,0
19840402,11050.00,11050.00,11050.00,11050.00,0
19840403,10934.00,10934.00,10934.00,10934.00,0
19840404,11002.00,11002.00,11002.00,11002.00,0
19840405,10993.00,10993.00,10993.00,10993.00,0
19840406,10915.00,10915.00,10915.00,10915.00,0
19840409,10890.00,10890.00,10890.00,10890.00,0
19840410,10915.00,10915.00,10915.00,10915.00,0
19840411,10939.00,10939.00,10939.00,10939.00,0
19840412,10987.00,10987.00,10987.00,10987.00,0
19840413,11015.00,11015.00,11015.00,11015.00,0
19840416,11020.00,11020.00,11020.00,11020.00,0
19840417,10906.00,10906.00,10906.00,10906.00,0
19840418,10933.00,10933.00,10933.00,10933.00,0
19840419,10783.00,10783.00,10783.00,10783.00,0
19840420,10803.00,10803.00,10803.00,10803.00,0
19840423,10801.00,10801.00,10801.00,10801.00,0
19840424,10762.00,10762.00,10762.00,10762.00,0
19840425,10866.00,10866.00,10866.00,10866.00,0
19840426,10902.00,10902.00,10902.00,10902.00,0
19840427,10981.00,10981.00,10981.00,10981.00,0
19840501,11013.00,11013.00,11013.00,11013.00,0
19840502,11105.00,11105.00,11105.00,11105.00,0
19840504,11130.00,11130.00,11130.00,11130.00,0
19840507,11159.00,11159.00,11159.00,11159.00,0
19840508,11052.00,11052.00,11052.00,11052.00,0
19840509,11060.00,11060.00,11060.00,11060.00,0
19840510,10880.00,10880.00,10880.00,10880.00,0
19840511,10833.00,10833.00,10833.00,10833.00,0
19840514,10563.00,10563.00,10563.00,10563.00,0
19840515,10605.00,10605.00,10605.00,10605.00,0
19840516,10620.00,10620.00,10620.00,10620.00,0
19840517,10341.00,10341.00,10341.00,10341.00,0
19840518,10126.00,10126.00,10126.00,10126.00,0
19840521,10165.00,10165.00,10165.00,10165.00,0
19840522,10062.00,10062.00,10062.00,10062.00,0
19840523,10023.00,10023.00,10023.00,10023.00,0
19840524,10251.00,10251.00,10251.00,10251.00,0
19840525,10142.00,10142.00,10142.00,10142.00,0
19840528,10116.00,10116.00,10116.00,10116.00,0
19840529,10164.00,10164.00,10164.00,10164.00,0
19840530,10141.00,10141.00,10141.00,10141.00,0
19840531,9940.00,9940.00,9940.00,9940.00,0
19840601,9913.00,9913.00,9913.00,9913.00,0
19840604,10132.00,10132.00,10132.00,10132.00,0
19840605,10258.00,10258.00,10258.00,10258.00,0
19840606,10254.00,10254.00,10254.00,10254.00,0
19840607,10316.00,10316.00,10316.00,10316.00,0
19840608,10350.00,10350.00,10350.00,10350.00,0
19840611,10377.00,10377.00,10377.00,10377.00,0
19840612,10325.00,10325.00,10325.00,10325.00,0
19840613,10276.00,10276.00,10276.00,10276.00,0
19840614,10149.00,10149.00,10149.00,10149.00,0
19840615,10057.00,10057.00,10057.00,10057.00,0
19840618,10123.00,10123.00,10123.00,10123.00,0
19840619,10197.00,10197.00,10197.00,10197.00,0
19840620,10237.00,10237.00,10237.00,10237.00,0
19840621,10171.00,10171.00,10171.00,10171.00,0
19840622,10153.00,10153.00,10153.00,10153.00,0
19840625,10146.00,10146.00,10146.00,10146.00,0
19840626,10245.00,10245.00,10245.00,10245.00,0
19840627,10311.00,10311.00,10311.00,10311.00,0
19840628,10372.00,10372.00,10372.00,10372.00,0
19840629,10378.00,10378.00,10378.00,10378.00,0
19840702,10411.00,10411.00,10411.00,10411.00,0
19840703,10349.00,10349.00,10349.00,10349.00,0
19840704,10376.00,10376.00,10376.00,10376.00,0
19840705,10421.00,10421.00,10421.00,10421.00,0
19840706,10462.00,10462.00,10462.00,10462.00,0
19840709,10373.00,10373.00,10373.00,10373.00,0
19840710,10387.00,10387.00,10387.00,10387.00,0
19840711,10355.00,10355.00,10355.00,10355.00,0
19840712,10270.00,10270.00,10270.00,10270.00,0
19840713,10154.00,10154.00,10154.00,10154.00,0
19840716,10178.00,10178.00,10178.00,10178.00,0
19840717,10242.00,10242.00,10242.00,10242.00,0
19840718,10208.00,10208.00,10208.00,10208.00,0
19840719,10089.00,10089.00,10089.00,10089.00,0
19840720,9945.00,9945.00,9945.00,9945.00,0
19840723,9703.00,9703.00,9703.00,9703.00,0
19840724,9739.00,9739.00,9739.00,9739.00,0
19840725,9800.00,9800.00,9800.00,9800.00,0
19840726,9932.00,9932.00,9932.00,9932.00,0
19840727,10036.00,10036.00,10036.00,10036.00,0
19840730,10014.00,10014.00,10014.00,10014.00,0
19840731,9999.00,9999.00,9999.00,9999.00,0
19840801,9948.00,9948.00,9948.00,9948.00,0
19840802,10087.00,10087.00,10087.00,10087.00,0
19840803,10234.00,10234.00,10234.00,10234.00,0
19840806,10431.00,10431.00,10431.00,10431.00,0
19840807,10314.00,10314.00,10314.00,10314.00,0
19840808,10247.00,10247.00,10247.00,10247.00,0
19840809,10290.00,10290.00,10290.00,10290.00,0
19840810,10376.00,10376.00,10376.00,10376.00,0
19840813,10390.00,10390.00,10390.00,10390.00,0
19840814,10361.00,10361.00,10361.00,10361.00,0
19840815,10442.00,10442.00,10442.00,10442.00,0
19840816,10418.00,10418.00,10418.00,10418.00,0
19840817,10449.00,10449.00,10449.00,10449.00,0
19840820,10533.00,10533.00,10533.00,10533.00,0
19840821,10486.00,10486.00,10486.00,10486.00,0
19840822,10538.00,10538.00,10538.00,10538.00,0
19840823,10546.00,10546.00,10546.00,10546.00,0
19840824,10554.00,10554.00,10554.00,10554.00,0
19840827,10569.00,10569.00,10569.00,10569.00,0
19840828,10575.00,10575.00,10575.00,10575.00,0
19840829,10580.00,10580.00,10580.00,10580.00,0
19840830,10586.00,10586.00,10586.00,10586.00,0
19840831,10584.00,10584.00,10584.00,10584.00,0
19840903,10630.00,10630.00,10630.00,10630.00,0
19840904,10610.00,10610.00,10610.00,10610.00,0
19840905,10546.00,10546.00,10546.00,10546.00,0
19840906,10458.00,10458.00,10458.00,10458.00,0
19840907,10501.00,10501.00,10501.00,10501.00,0
19840910,10472.00,10472.00,10472.00,10472.00,0
19840911,10493.00,10493.00,10493.00,10493.00,0
19840912,10534.00,10534.00,10534.00,10534.00,0
19840913,10579.00,10579.00,10579.00,10579.00,0
19840914,10604.00,10604.00,10604.00,10604.00,0
19840917,10636.00,10636.00,10636.00,10636.00,0
19840918,10559.00,10559.00,10559.00,10559.00,0
19840919,10552.00,10552.00,10552.00,10552.00,0
19840920,10521.00,10521.00,10521.00,10521.00,0
19840921,10505.00,10505.00,10505.00,10505.00,0
19840925,10605.00,10605.00,10605.00,10605.00,0
19840926,10620.00,10620.00,10620.00,10620.00,0
19840927,10644.00,10644.00,10644.00,10644.00,0
19840928,10649.00,10649.00,10649.00,10649.00,0
